title|url|brief|tags|ft_v|sc_v|th_v|doc|len_doc|ST|ET|yg|addr|label
蜜源会纯蜂蜜3期上线——枣花蜜，百分百无添、出口美国、累计众筹数万|http://www.zhongchou.com/deal-show/id-231253|蜜源会蜂农协会下辖秦岭天然洋槐核心区、关中万亩枣树林和汉中百万亩油菜花田三个蜜源地，产品出口美国百分百无添加，以最优的价格和质量供应最纯正天然的蜂产品|陕西#西安#茶酒饮品#生态养殖#蜂蜜#润肺#补身|2764|23|277|2016-01-1018:00:01--感谢大家的支持，项目已成功结束。共完成2764元的筹资额，达成预定目标的277%，获得23人支持。我们会尽快实施项目，期待大家的后续关注。#2015-10-2921:40:14--截止2015-10-2921时，筹款超过100%，共1776元，获得13人次支持。感谢大家的支持，期待你们的继续关注。#2015-10-1218:00:02--新项目“蜜源会纯蜂蜜3期上线——枣花蜜，百分百无添、出口美国、累计众筹数万”上线了。我们的项目必须在2016年01月10日之前，筹集到1000才可成功，希望您能给予支持，持续关注我们的项目##¥49-4人-2015新出枣花蜜一瓶，净重500g2015新出枣花蜜一瓶，净重500g预计回报发送时间：项目成功结束后立即发货#¥95-4人-2015新出枣花蜜一瓶，净重1000g2015新出枣花蜜一瓶，净重1000g预计回报发送时间：项目成功结束后立即发货#¥179-12人-2015新出枣花蜜两瓶，每瓶净重1000g2015新出枣花蜜两瓶，每瓶净重1000g预计回报发送时间：项目成功结束后立即发货|487|2015-10-13 13:47:44|2016-01-05 00:59:17|农业|陕西#西安|茶酒饮品#生态养殖#蜂蜜#润肺#补身
小姑娘众筹：寻找一款家乡风味的纯粹美酒|http://www.zhongchou.com/deal-show/id-297271|一方水土养育了一方人，毛府酒保存了一代韶山人的记忆。每逢传统节日，主席生日的时候，韶山人都会用美酒来怀念主席。让我们一起分享美味，怀念主席吧。|湖南#湘潭#茶酒饮品#酒#手工#原浆|82662|23|104|2016-01-3116:00:01--感谢大家的支持，项目已成功结束。共完成82662元的筹资额，达成预定目标的104%，获得23人支持。我们会尽快实施项目，期待大家的后续关注。#2016-01-3016:00:02--截止2016-01-3016时，筹款超过100%，共82662元，获得23人次支持。感谢大家的支持，期待你们的继续关注。#2016-01-2513:00:01--2016-01-2513时，筹资已经超过50%了，离成功越来越近啦~#2016-01-1117:00:01--上线1小时内筹资达到13%#2016-01-1117:00:01--感谢山花姑娘支持了￥50~#2016-01-1116:00:01--新项目“小姑娘众筹：寻找一款家乡风味的纯粹美酒”上线了。我们的项目必须在2016年01月31日之前，筹集到80000才可成功，希望您能给予支持，持续关注我们的项目##¥168-2人-支持168¥毛府手酿原浆一坛。每坛450ml。预计回报发送时间：项目成功结束后立即发货#¥318-7人-支持318¥毛府手酿原浆两坛。每坛450ml。（一提装）。预计回报发送时间：项目成功结束后立即发货#¥818-0人-支持818¥毛府手酿原浆五斤装一坛。预计回报发送时间：项目成功结束后立即发货#¥10,000-8人-支持10000¥毛府手酿原浆100斤。可免费存放，无限期，随时可提货。另送主席故乡韶山一日游，包食宿，路费自理。主要景点：滴水洞、主席故居、铜像广场。预计回报发送时间：项目成功结束后立即发货|661|2016-01-11 16:27:15|2016-01-30 15:31:52|农业|湖南#湘潭|茶酒饮品#酒#手工#原浆
心系老区，带动菊农脱贫—公益助学，寒门学子圆梦校园|http://www.zhongchou.com/deal-show/id-157795|为帮助贫困学生顺利进入大学，现向社会各界人士众筹资助三名麻城山区贫困家庭高三学生，众筹金额18000元，学费6000元/人，我们会赠送支持者等价产品。|北京#生态养殖|18000|23|100|2015-08-1710:00:01--截止2015-08-1710时，筹款超过100%，共18000元，获得23人次支持。感谢大家的支持，期待你们的继续关注。#2015-07-0315:00:01--新项目“心系老区，带动菊农脱贫—公益助学，寒门学子圆梦校园”上线了。我们的项目必须在2015年08月22日之前，筹集到18000才可成功，希望您能给予支持，持续关注我们的项目#关于我#湖北凤凰白云山药业有限公司菊花制品分公司成立于2011年，具有先进的微波加热、杀青、烘干生产线，全自动袋装生产线和“纯阳山牌”和“明钼”两个品牌系列。目前已在大别山区域拥有有机菊花生产基地、农业种植合作社和数百亩核心种植基地。被评为湖北省林业产业化龙头企业和湖北省农业产业化龙头企业。#2012年，我们公司被省科技厅、省财政厅、省国税局、省地税局认定为“湖北省2012年第一批高新技术企业”。被湖北省工商行政管理局、湖北省企业信用促进会评为重合同守信用企业。2012年，我们公司被中国生产力学会、中国生产力学会创新推进委员会列为“2012中国最具创新力企业”单位。#2012年，纯阳山胎菊被评为湖北省农产品第九届中国武汉农业博览会金奖和首届大别山旅游产品金奖。公司菊花生产基地位于大别山区麻城福田河镇中心，2011年10月10日标识牌落成，核心种植基地面积有120亩，与100余农户签订有菊花示范基地建设合作协议书。2013年元月又在中央电视台新闻联播报道的菊花种植村仙羊岩村签约增加建设有机福白菊菊花种植示范基地百亩。我们的目标是依托大别山的资源优势、生态优势，打造成中国最大的菊花、金银花饮片生产加工基地，中国胎菊第一文化品牌和中国胎菊第一生态品牌。#我想要做什么#我们准备资助来自麻城山区的贫困高三学生今年能顺利进入梦想大学，开始大学学习生涯，（目前名单正在筛选中，我们众筹支持符合条件的收到录取通知书的麻城山区贫困家庭高三学生，众筹结束后我们将在微信公众号中公告资助的学生信息），下图为往年我们支持的湖北麻城部分学生信息及共青团麻城市委员会开具的捐赠收据：#####为什么我需要你的支持及资金用途#《关于麻城》#麻城市位于湖北省东北部，鄂豫皖三省交界的大别山中段南麓。北与河南省商城县、新县以山脊为界，东北同安徽省金寨县依界岭分水，省内东邻罗田县，南接团风县、武汉市新洲区，西与红安县毗连。麻城奇山秀水，花色似锦。“人间四月天，麻城看杜鹃。”全市共有100万亩杜鹃花林，其中，龟峰山有连片的10万亩古杜鹃群落，其面积之大、年代之久、密度之高、品种之纯、花色之美、中国一绝，世界罕见，被上海大世界基尼斯总部评定为“中国面积最大的古杜鹃（映山红）群落”。麻城还有国家AAAA景区龟峰山、国家森林公园五脑山、国家地质公园九龙山、历史文化名村杏花村、国家AAAA景区烈士陵园等，生态游、红色游、人文游方兴未艾。麻城旅游官网：http://www.macheng.gov.cn/lymc/#人间四月天麻城看杜鹃##《关于胎菊》#“纯阳山牌”胎菊：绿色有机生态好、花才好：“纯阳山牌”胎菊采自湖北麻城福田河镇纯阳山地区，精选大别山老区有机基地头道福白菊鲜菊花蕾为原料。因其本身颜色好，烘干时不需硫磺熏蒸、种植阶段不需打农药、绿色有机，双有机认证。据《麻城县志》记载，源自宋太宗至道三年（公元997），至今已有1000多年的历史。本公司首创菊花茶品全方位的“4GMP-10生产标准”，即生态标准、种植标准、采摘标准和加工标准。这个标准的核心就是要严格按制药标准生产菊花、实施全过程生产质量管理。进行科学的量化种植手段、实施全方位的科学管理。同时，纯阳山胎菊获得中国药文化研究会推荐的“中国胎菊生态品牌”及“中国胎菊文化品牌”。#“纯阳山牌”胎菊胎菊：品种、生长环境、种植加工技术、口感、功效五大独特，新闻联播播报、双有机认证是别的菊花所没有也做不到的，更是无法超越的；#种植环节历经4年监测才能获有机认证，第一个获得种植、加工双有机认证，国家地理标志的菊花、无农残。###品种本身具有“朵大肥厚、花瓣玉白、花蕊深黄、汤液清澈、金黄带绿、气清香、味甘醇美”等品质特征，有“花里黄金、药膳佳肴、饮中极品”的美誉，为历代道家、文人墨客等推崇的明目养生以及待客珍品，并留下许多诗词佳话，是别的品种所没有的。#经湖北省食品药品监督检验研究院等科研机构检测，绿原酸和总黄酮的含量均高于药典标准，远远高于其它品种的菊花。对久用电脑、手机眼睛保养及眼刺、眼干、眼涩、视力下降，效果很好，现为外资企业接待用茶。#平常养眼4-6朵泡茶（约0.5克），伴有高血压、高血脂、眼干涩等加倍泡茶。#1、【丽人装】菊花茶（0.5g/袋*40袋/盒）###白领女性专享，口感好，维生素AD含量高，久用手机电脑的女性喝好后双目闪亮有神，适用孕产、哺乳等各期女性，办公室接待女性客户特受欢迎。#2、【家庭装】菊花茶（100g/罐）；###简约而不简单，品质高而经济实惠，适用于有学生、老人的家庭，一般可用一个月。#3、【四罐装】菊花茶（50g/罐*4罐/提）；##吉祥、高贵、典雅，送健康，送福气。#4、【先生烟盒装】菊花茶（10g/罐*3罐/提）；##品质高而口感好，为成功人士专享，喝后眼明口爽，办公室接待贵客别具一格。#5、【二罐装】菊花茶（25g/罐*2罐/提）；###素有“花里黄金、饮中极品”之美名，吉祥喜庆，高端人士至爱。#6、【千年纯阳山】菊花茶（50g/罐*2罐/提）；##千年纯阳山，素有“花里黄金、饮中极品”之美名，吉祥喜庆，高端人士至爱。#7、【菊花睡枕】（65cm*40cm/个）；##清肝火，明目，安神，质量上乘。#我们的承诺与回报#非常感谢您对麻城学生的支持！对于支持我们的朋友，我们将回报给您麻城最生态健康的纯阳山胎菊系列产品，您还将有机会来麻城旅游，感受这里的淳朴和自然。另外，如果您希望成为纯阳山胎菊产品的经销商，也可以支持我们的项目。我们承诺众筹项目成功结束后10天内发货。#我们保证将筹备费用送到学生手中，由共青团麻城市委员会监督。#我们保证兑现麻城旅游相关承诺，真诚期盼大家来麻城休闲、度假、旅游，做好导游、接待服务。#可能存在的风险#1、项目未能在预定时间内募集成功；#解决方案：全力推动，使得项目成功，如未成功，差额由我们将众筹款补足；#2、账目运作不清晰。#解决方案：捐款期间（50天），您的捐款集中在众筹网，项目成功后，由共青团麻城市委员会监督确保学费送到学生手中，并统计发放清单、附照片，并在我们微信公众号公示照片，请大众监督。##我们的联系方式#众筹项目负责人：张雪芹13601232337QQ：915034877#纯阳山胎菊负责人：邓舜茂13810091921QQ：408597673#¥58-2人-1、项目结束后，向支持者赠送【丽人装】菊花茶1盒（0.5g/袋*40袋/盒）；2、项目结束后，向支持者赠送精美杜鹃花明信片1张；3、圆梦大学众筹最低预算18000元，此部分爱心捐款将全部用于三名大学生学费，如捐款数额低于18000元，则差额由我们将众筹款补足。预计回报发送时间：项目成功结束后10天内#¥138-6人-1、项目结束后，向支持者赠送【家庭装】菊花茶1罐（100g/罐）；2、项目结束后，向支持者赠送精美杜鹃花明信片1张；3、圆梦大学众筹最低预算18000元，此部分爱心捐款将全部用于三名大学生学费，如捐款数额低于18000元，则差额由我们将众筹款补足。预计回报发送时间：项目成功结束后10天内#¥248-1人-1、项目结束后，向支持者赠送【四罐装】菊花茶1提（50g/罐*4罐/提）；2、项目结束后，向支持者赠送精美杜鹃花明信片1张；3、圆梦大学众筹最低预算18000元，此部分爱心捐款将全部用于三名大学生学费，如捐款数额低于18000元，则差额由我们将众筹款补足。预计回报发送时间：项目成功结束后10天内#¥358-0人-1、项目结束后，向支持者赠送【先生烟盒装】菊花茶2提（10g/罐*3罐/提）；2、项目结束后，向支持者赠送精美杜鹃花明信片1张；3、项目结束后，向支持者赠送麻城杜鹃旅游指南1本；4、圆梦大学众筹最低预算18000元，此部分爱心捐款将全部用于三名大学生学费，如捐款数额低于18000元，则差额由我们将众筹款补足。预计回报发送时间：项目成功结束后10天内#¥488-0人-1、项目结束后，向支持者赠送【千年纯阳山】菊花茶1提（50g/罐*2罐/提）；2、项目结束后，向支持者赠送精美杜鹃花明信片1张；3、项目结束后，向支持者赠送麻城杜鹃旅游指南1本；4、圆梦大学众筹最低预算18000元，此部分爱心捐款将全部用于三名大学生学费，如捐款数额低于18000元，则差额由我们将众筹款补足。预计回报发送时间：项目成功结束后10天内#¥988-0人-1、项目结束后，向支持者赠送【菊花睡枕】2个（65cm*40cm/个）；2、项目结束后，向支持者赠送精美杜鹃花明信片1张；3、项目结束后，向支持者赠送麻城杜鹃旅游指南1本；4、项目结束后，向支持者赠送麻城龟峰山门票1张；5、圆梦大学众筹最低预算18000元，此部分爱心捐款将全部用于三名大学生学费，如捐款数额低于18000元，则差额由我们将众筹款补足。预计回报发送时间：项目成功结束后10天内#¥1,880-0人-1、项目结束后，向支持者赠送【菊花睡枕】2个（65cm*40cm/个），【二罐装】菊花茶2提（25g/罐*2罐）；2、项目结束后，向支持者赠送精美杜鹃花明信片1张；3、项目结束后，向支持者赠送麻城杜鹃旅游指南1本；4、项目结束后，向支持者赠送麻城龟峰山门票2张；5、圆梦大学众筹最低预算18000元，此部分爱心捐款将全部用于三名大学生学费，如捐款数额低于18000元，则差额由我们将众筹款补足。预计回报发送时间：项目成功结束后10天内|4061|2015-07-03 18:05:30|2015-08-17 09:00:32|农业|北京|生态养殖
无硫黄花菜——农家自种天然烘干晾晒的绿色食品|http://www.zhongchou.com/deal-show/id-177748|大荔县东临黄河，其沙苑土质肥沃松软、排水性能好，极宜黄花生长。大荔县黄花菜在全国品质鉴定会上名列同类产品之首，被国家质检总局总局授予地理标志产品保护。|陕西#渭南#果蔬食品|3076|22|103|2015-09-1316:00:01--感谢大家的支持，项目已成功结束。共完成3076元的筹资额，达成预定目标的103%，获得22人支持。我们会尽快实施项目，期待大家的后续关注。#2015-09-1316:00:01--截止2015-09-1316时，筹款超过100%，共3076元，获得22人次支持。感谢大家的支持，期待你们的继续关注。#2015-09-0816:00:01--截止2015-09-0816时，筹款超过100%，共3008元，获得21人次支持。感谢大家的支持，期待你们的继续关注。#2015-08-1416:00:01--新项目“无硫黄花菜——农家自种天然烘干晾晒的绿色食品”上线了。我们的项目必须在2015年09月13日之前，筹集到3000才可成功，希望您能给予支持，持续关注我们的项目##¥68-15人-15年新产优质无硫黄花菜500克预计回报发送时间：项目成功结束后立即发货#¥128-6人-15年新产优质无硫黄花菜1000克预计回报发送时间：项目成功结束后立即发货#¥588-0人-15年新产优质无硫黄花菜9000克预计回报发送时间：项目成功结束后立即发货#¥1,288-1人-15年新产优质无硫黄花菜20千克预计回报发送时间：项目成功结束后立即发货|538|2015-08-20 14:14:16|2015-09-10 15:39:57|农业|陕西#渭南|果蔬食品
来自苹果之乡，中国苹果外销生产基地的正宗洛川红富士（出口型）|http://www.zhongchou.com/deal-show/id-230260|84年被鉴好于美国蛇果；88年被鉴定所有指标为优；95年获优质农产品奖；01年获星火博展会奖；04年获农博会后稷奖；05在指标评比中获得13金|陕西#延安#休闲零食#果蔬种植#苹果#美容#养生|2819|22|141|2015-11-2414:00:01--感谢大家的支持，项目已成功结束。共完成2819元的筹资额，达成预定目标的141%，获得22人支持。我们会尽快实施项目，期待大家的后续关注。#2015-11-2123:04:51-霾霾埋-给位亲，陆续开始发货了，非洛川红富士80以上的苹果直接退款。#2015-10-2921:40:14--截止2015-10-2921时，筹款超过100%，共2193元，获得17人次支持。感谢大家的支持，期待你们的继续关注。#2015-10-1014:00:02--新项目“来自苹果之乡，中国苹果外销生产基地的正宗洛川红富士（出口型）”上线了。我们的项目必须在2015年11月24日之前，筹集到2000才可成功，希望您能给予支持，持续关注我们的项目##¥59-3人-15年新出洛川红富士一箱，每个苹果不低于200g，总净重不低于2500g。15年新出洛川红富士一箱，每个苹果不低于200，总净重不低于2500g。预计回报发送时间：项目成功结束后立即发货#¥99-6人-15年新出洛川红富士两箱，每个苹果不低于250g，每箱净重不低于2500g。15年新出洛川红富士两箱，每个苹果不低于250g，每箱净重不低于2500g。预计回报发送时间：项目成功结束后立即发货#¥169-12人-15年新出洛川红富士四箱，每个苹果不低于250g，每箱净重不低于2500g。15年新出洛川红富士两箱，每个苹果不低于250g，每箱净重不低于2500g。预计回报发送时间：项目成功结束后立即发货|647|2015-10-10 13:29:51|2015-11-23 12:50:23|农业|陕西#延安|休闲零食#果蔬种植#苹果#美容#养生
秦岭野生猕猴桃三期---拿命采摘的防癌圣果|http://www.zhongchou.com/deal-show/id-310405|每年秋季，秦岭北麓金丝猴自然保护区内就吸引了成千上万的猕猴金丝猴捡拾成熟的野生小猕猴桃，满山遍野的香气不仅仅吸引着猕猴，更有不远千里前来采摘的外地游客|陕西#宝鸡#休闲零食#生物科技#野生猕猴桃#防癌#养生|2864|22|144|2016-01-1015:00:01--感谢大家的支持，项目已成功结束。共完成2864元的筹资额，达成预定目标的144%，获得22人支持。我们会尽快实施项目，期待大家的后续关注。#2015-12-2113:00:01--截止2015-12-2113时，筹款超过100%，共2009元，获得13人次支持。感谢大家的支持，期待你们的继续关注。#2015-12-2023:00:01--2015-12-2023时，马上就要成功啦~快快来支持吧！#2015-12-1601:00:01--2015-12-1601时，筹资已经超过50%了，离成功越来越近啦~#2015-12-1116:00:01--感谢用户MN768BC支持了￥113~#2015-12-1115:00:01--新项目“秦岭野生猕猴桃三期---拿命采摘的防癌圣果”上线了。我们的项目必须在2016年01月10日之前，筹集到2000才可成功，希望您能给予支持，持续关注我们的项目##¥59-11人-野生猕猴桃一箱，精美礼盒包装，净重5斤野生猕猴桃一箱，精美礼盒包装，净重5斤预计回报发送时间：项目成功结束后立即发货#¥113-2人-野生猕猴桃两箱，精美礼盒包装，每箱净重5斤，共10斤野生猕猴桃两箱，精美礼盒包装，每箱净重5斤，共10斤预计回报发送时间：项目成功结束后立即发货#¥221-9人-野生猕猴桃四箱，精美礼盒包装，每箱净重5斤，共20斤野生猕猴桃四箱，精美礼盒包装，每箱净重5斤，共20斤预计回报发送时间：项目成功结束后立即发货|647|2015-12-11 15:34:47|2016-01-08 20:26:53|农业|陕西#宝鸡|休闲零食#生物科技#野生猕猴桃#防癌#养生
”慢茶“众筹一个茶”走西口“的梦|http://www.zhongchou.com/deal-show/id-32311|我们，茶农9人，怀着对北方茶的热爱、痴迷和敬意，坚持把北方茶做到极致，让他生长于极北、极西的中国大地，让茶有北方的味、北方的韵、北方的魂...|山东#青岛#茶酒饮品|10830|22|109|2015-02-2216:46:19--感谢大家的支持，项目已成功结束。共完成10830元的筹资额，达成预定目标的109%，获得22人支持。我们会尽快实施项目，期待大家的后续关注。#2015-02-1812:17:01--截止2015年02月18日，筹款超过100%，感谢大家的支持，期待你们的继续关注。#2015-01-0816:46:19--由北茶味蕾发起的项目“”慢茶“众筹一个茶”走西口“的梦”上线了。我们的项目必须在2015年02月22日之前，筹集到10000才可成功，希望您能给予支持，持续关注我们的项目#很多时候，坚持比激情更重要...###我们的“慢茶”理念...###########这些我们已经做了......###可能是陆羽先生对我们的眷顾吧...#¥39-10人-1）精制茶礼，含我们青岛站基地自产绿茶+红茶（价值80元，共100g）；2）全国开建的各地茶园免预约陪同参观特权。预计回报发送时间：项目成功结束后10天内#¥159-3人-1）精制茶礼，任选其一：A.每月邮寄青岛站基地当季自产绿茶/红茶（60g/次，共6个月）；B.一次性邮寄青岛站基地绿茶+红茶（共500g）2）享所有上线商品9折优惠；3）全国开建的各地茶园免预约陪同参观特权。预计回报发送时间：项目成功结束后10天内#¥289-2人-1）精制茶礼，任选其一：A.每月邮寄青岛站基地当季自产绿茶/红茶，感受茶叶岁月的变换（50g/次，共12个月）；B.一次性邮寄青岛站基地绿茶+红茶（共900g）2）精致“慢茶梦想体验官”名片一张，享所有上线商品8.5折优惠；3）全国开建的各地茶园免预约陪同参观特权。预计回报发送时间：项目成功结束后10天内#¥489-1人-1）精制茶礼，任选其一：A.每月邮寄青岛站基地当季自产绿茶/红茶，感受茶叶岁月的变换（100g/次，共12个月）；B.一次性邮寄青岛站基地绿茶+红茶（共1500g）2）精致“慢茶梦想体验官”名片一张，享所有上线商品7.5折优惠；3）全国开建的各地茶园免预约陪同参观特权。预计回报发送时间：项目成功结束后10天内#¥1,299-4人-1）精制茶礼，任选其一：A.每月邮寄青岛站基地当季自产绿茶/红茶，感受茶叶岁月的变换（100g/次，共12个月）；B.一次性邮寄青岛站基地绿茶+红茶（共1600g）2）精致“慢茶梦想体验官”名片一张，享所有上线商品7.5折优惠；3）中秋、春节赠送价值1600元的节日礼盒（每次4盒，共8盒，200g/盒）4）全国开建的各地茶园免预约陪同参观特权。预计回报发送时间：项目成功结束后10天内#¥3,699-1人-1）精制茶礼，每月邮寄青岛站基地当季自产绿茶/红茶，感受茶叶岁月的变换（500g/次，共12个月）；2）精致“慢茶梦想体验官”名片一张，享所有上线商品7.5折优惠；3）中秋、春节赠送价值4000元的节日礼盒（每次10盒，共20盒，200g/盒）4）全国开建的各地茶园免预约陪同参观特权。、5）成本价私人定制特权预计回报发送时间：项目成功结束后10天内|1270|2015-01-08 22:34:38|2015-02-18 12:17:01|农业|山东#青岛|茶酒饮品
全民来抱鸡|http://www.zhongchou.com/deal-show/id-225637|保护中华原种土鸡，为大家提供生态养殖下的优质美味。|广东#广州#生态养殖#土鸡|20078|22|101|2015-11-1412:00:01--感谢大家的支持，项目已成功结束。共完成20078元的筹资额，达成预定目标的101%，获得22人支持。我们会尽快实施项目，期待大家的后续关注。#2015-11-0315:00:01--截止2015-11-0315时，筹款超过100%，共20078元，获得22人次支持。感谢大家的支持，期待你们的继续关注。#2015-10-2921:40:14--2015-10-2921时，马上就要成功啦~快快来支持吧！#2015-10-2921:40:14--感谢用户KOWQ0997支持了￥538~#2015-10-1512:00:01--新项目“全民来抱鸡”上线了。我们的项目必须在2015年11月14日之前，筹集到20000才可成功，希望您能给予支持，持续关注我们的项目#领养一群鸡，幸福全家人！#¥168-4人-试吃装支持者可随机获得一只原价168元的荔妃、原价198元的锦袍或者原价228元的乌鸡预计回报发送时间：项目成功结束后立即发货#¥538-4人-情侣滋补（月套餐）可以拥有4只专属于自己的荔妃。预计回报发送时间：项目成功结束后立即发货#¥578-2人-考生必备（月套餐）可以拥有4只专属于自己的锦袍。预计回报发送时间：项目成功结束后立即发货#¥638-3人-孕宝康健（月套餐）可以拥有4只专属于自己的乌鸡。预计回报发送时间：项目成功结束后立即发货#¥1,618-2人-情侣滋补（季套餐）可以拥有12只专属于自己的荔妃。预计回报发送时间：项目成功结束后立即发货#¥1,738-3人-考生必备（季套餐）可以拥有12只专属于自己的锦袍。预计回报发送时间：项目成功结束后立即发货#¥1,908-3人-孕宝康健（季套餐）可以拥有12只专属于自己的乌鸡。预计回报发送时间：项目成功结束后立即发货|762|2015-10-17 10:39:20|2015-11-03 14:58:16|农业|广东#广州|生态养殖#土鸡
来自大自然的馈赠——野生无公害薄皮山核桃|http://www.zhongchou.com/deal-show/id-380329|本次众筹目的是为重庆山区的果农创收，通过互联网+时代的思维帮助山区果农打开一条新的市场销路，众所周知重庆是个山区环绕，物产丰富的年轻直辖市，自然是最美|重庆#休闲零食#果蔬种植#天然#无公害|1060|22|106|2016-04-1412:00:01--感谢大家的支持，项目已成功结束。共完成1060元的筹资额，达成预定目标的106%，获得22人支持。我们会尽快实施项目，期待大家的后续关注。#2016-04-0811:00:01--截止2016-04-0811时，筹款超过100%，共1048元，获得18人次支持。感谢大家的支持，期待你们的继续关注。#2016-04-0723:00:01--2016-04-0723时，马上就要成功啦~快快来支持吧！#2016-04-0716:00:01--2016-04-0716时，筹资已经超过50%了，离成功越来越近啦~#2016-03-2513:00:01--感谢用户IDRD支持了￥29~#2016-03-2512:00:01--新项目“来自大自然的馈赠——野生无公害薄皮山核桃”上线了。我们的项目必须在2016年04月14日之前，筹集到1000才可成功，希望您能给予支持，持续关注我们的项目##¥3-#14人／限500人-支持3元+1次中奖机会众筹成功结束后，每满20人，由众筹网官方抽出1名幸运用户获得每20名支持者中将由众筹官网抽取一名幸运支持者，免费获得一斤正宗无公害野生山核桃，包邮！(不满20人，按20人抽取。)已发放抽奖号：14个预计奖品发送时间：开奖后7天内#¥29-1人／限200人-爱心支持29元+500G野生山核桃众筹成功结束后，每位支持者将获得一斤（500G）正宗无公害野生山核桃，包邮！预计回报发送时间：项目成功结束后7天内#¥49-1人／限200人-爱心支持49元+1000G野生山核桃众筹成功结束后，每位支持者将获得一公斤（1000G）正宗无公害野生山核桃，包邮！预计回报发送时间：项目成功结束后7天内#¥90-1人／限100人-爱心支持90元+2000G野生山核桃众筹成功结束后，每位支持者将获得4斤（2000G）正宗无公害野生山核桃，包邮！预计回报发送时间：项目成功结束后7天内#¥170-5人／限100人-爱心支持170元+5000G野生山核桃众筹成功结束后，每位支持者将获得10斤（5000G）正宗无公害野生山核桃，包邮！预计回报发送时间：项目成功结束后7天内|915|2016-03-25 12:13:21|2016-04-13 17:56:42|农业|重庆|休闲零食#果蔬种植#天然#无公害
新疆阿勒泰2015新出特级黑加仑葡萄干|http://www.zhongchou.com/deal-show/id-309106|阿勒泰黑加仑生长期长香醇怡人，有葡萄酒的天然芳香，所含VC和磷镁钾钙及花青素、酚类物质可护肝、保护视力、延缓衰老、补血补气、预防痛风贫血及心脑血管疾病|新疆#休闲零食#果蔬种植#黑加仑#葡萄干#护肝抗衰|1904|22|191|2016-01-0911:00:01--感谢大家的支持，项目已成功结束。共完成1904元的筹资额，达成预定目标的191%，获得22人支持。我们会尽快实施项目，期待大家的后续关注。#2015-12-1921:42:20-阿勒泰山-各位亲，感谢大家的支持，没想到这么快就成功了，我们正在给大家发货，保证让您满意。#2015-12-1714:00:01--截止2015-12-1714时，筹款超过100%，共1005元，获得14人次支持。感谢大家的支持，期待你们的继续关注。#2015-12-1710:00:01--2015-12-1710时，马上就要成功啦~快快来支持吧！#2015-12-1116:00:01--2015-12-1116时，筹资已经超过50%了，离成功越来越近啦~#2015-12-1012:00:01--上线1小时内筹资达到14%#2015-12-1012:00:01--感谢用户APZB支持了￥144~#2015-12-1011:00:01--新项目“新疆阿勒泰2015新出特级黑加仑葡萄干”上线了。我们的项目必须在2016年01月09日之前，筹集到1000才可成功，希望您能给予支持，持续关注我们的项目##¥49-14人-阿勒泰2015新出特级黑加仑葡萄干1.5斤，均价每斤33元阿勒泰2015新出特级黑加仑葡萄干1.5斤，精美黑加仑葡萄干包装袋密封包装。预计回报发送时间：项目成功结束后立即发货#¥96-2人-阿勒泰2015新出特级黑加仑葡萄干3斤，均价每斤32元阿勒泰2015新出特级黑加仑葡萄干3斤，精美黑加仑葡萄干包装袋密封包装。预计回报发送时间：项目成功结束后立即发货#¥144-1人-阿勒泰2015新出特级黑加仑葡萄干4.5斤，均价每斤32元，精美礼盒包装阿勒泰2015新出特级黑加仑葡萄干4.5斤，精美黑加仑葡萄干包装袋密封包装+精美礼盒包装。预计回报发送时间：项目成功结束后立即发货#¥279-3人-阿勒泰2015新出特级黑加仑葡萄干9斤，均价每斤31元，精美礼盒包装，两盒。阿勒泰2015新出特级黑加仑葡萄干9斤，精美黑加仑葡萄干包装袋密封包装+精美礼盒包装。两盒预计回报发送时间：项目成功结束后立即发货#¥540-0人-阿勒泰2015新出特级黑加仑葡萄干18斤，均价每斤30元，精美礼盒包装，四盒。阿勒泰2015新出特级黑加仑葡萄干18斤，精美黑加仑葡萄干包装袋密封包装+精美礼盒包装。四盒预计回报发送时间：项目成功结束后立即发货|1035|2015-12-10 11:34:07|2016-01-05 01:05:40|农业|新疆|休闲零食#果蔬种植#黑加仑#葡萄干#护肝抗衰
